,MuonEnergy,RecoE
225,945.558,656.861
226,565.300,631.768
227,743.109,717.023
228,694.404,670.560
229,963.487,1019.437
230,564.845,591.643
231,1441.390,1455.212
232,472.830,477.697
233,973.025,985.542
234,922.786,1034.355
235,899.900,694.536
236,804.332,754.139
237,1113.190,1266.013
238,1092.110,1027.627
239,708.786,763.499
240,907.063,904.072
241,833.003,869.705
242,939.057,978.208
243,896.015,931.222
244,695.016,729.003
245,750.337,800.991
246,1017.710,1108.092
247,395.823,430.134
248,1453.310,1210.530
249,959.782,1058.791
250,969.909,1071.287
251,731.237,712.814
252,1261.730,1448.740
253,1810.290,843.062
254,870.978,997.323
255,950.648,901.520
256,804.409,833.426
257,829.114,878.455
258,1362.640,1541.859
259,658.930,621.228
260,1236.610,1211.957
261,801.394,842.670
262,1165.210,1140.242
263,542.339,575.624
264,713.228,710.549
265,1083.030,1096.276
266,1158.530,1147.230
267,661.374,708.509
268,1104.450,1038.377
269,1088.050,1033.144
270,1060.050,1028.099
271,914.232,901.853
272,551.271,542.370
273,806.984,863.159
274,956.112,964.876
275,984.359,923.777
276,627.096,681.206
277,426.906,470.086
278,689.222,693.113
279,739.479,842.623
280,1198.590,1357.865
281,1093.600,1041.646
282,565.846,567.846
283,706.752,962.197
284,762.303,853.758
285,848.291,847.512
286,970.781,1040.880
287,869.924,840.889
288,694.158,777.948
289,853.794,847.162
290,681.539,689.648
291,875.908,922.793
292,745.841,724.738
293,1460.690,1361.558
294,750.965,723.749
295,844.340,909.116
296,1303.410,1468.976
297,1116.330,1020.398
298,964.150,1027.202
299,544.367,514.184
300,1869.100,1563.864
301,795.646,830.179
302,1116.180,1072.306
303,611.494,804.724
304,1340.650,818.559
305,1161.320,1238.088
306,572.217,593.969
307,1073.270,1041.628
308,1200.860,1128.896
309,520.531,571.755
310,922.715,891.910
311,949.575,908.429
312,1052.780,1125.796
313,831.513,925.757
314,510.258,586.097
315,947.704,969.382
316,749.567,784.953
317,552.917,842.552
318,572.530,583.871
319,656.752,655.132
320,1522.580,1599.017
321,944.360,885.952
322,1267.080,1454.812
323,956.686,865.888
324,917.725,649.177
325,1893.590,1566.829
326,1145.970,1090.067
327,811.802,570.021
328,825.905,859.440
329,1049.360,1230.584
330,1141.360,1162.148
331,963.751,1072.151
332,1200.680,659.239
333,1595.060,1568.253
334,770.064,850.826
335,1040.350,1089.450
336,436.749,552.900
337,1073.850,1073.323
338,771.519,847.928
